"","secchi.x","CA_insitu","blue_insit","green_insi","red_insitu","nir_insitu","CA","Blue","Green","Red","NIR","local.x","GLORIA_ID","region.x","sensor","Class","region"
"43",2.5,NA,0.006276671423215,0.006685515600573,0.003533607412036,-6.4211775623e-05,0.01,0.0119421911549,0.011732106630019,0.009692536034296,0.008992254284692,"Gulf of Mexcio","GID_5496","United States of America (the)","TM","1","US"
"44",NA,NA,0.012225749643931,0.011822587696017,0.004689443690562,6.1674420561e-05,0.01,0.011040578402285,0.014008022316233,0.00547333849293,8.9922542847e-05,"Gulf of Mexcio","GID_5529","United States of America (the)","TM","3","US"
"45",NA,NA,0.012402696982492,0.009784461157001,0.00312030644196,0.000807044196897,0.01,0.01832350859817,0.015898783040165,0.004081528515592,0.002322070619711,"Gulf of Mexcio, FL","GID_5655","United States of America (the)","TM","3","US"
"46",NA,NA,0.043945633399237,0.021320897027,0.00120297382137,5.1218050488e-05,0.01,0.041861728906746,0.03120869279089,0.004746796177716,0.004379148259174,"Atlantic Ocean","GID_6205","Bahamas (the)","TM","1","Bahamas"
"47",NA,NA,0.040814249729825,0.022730653841277,0.001904020975805,3.7036064694e-05,0.01,0.041861728906746,0.03120869279089,0.004746796177716,0.004379148259174,"Atlantic Ocean","GID_6206","Bahamas (the)","TM","1","Bahamas"
"48",NA,NA,0.018138477843159,0.014628690652555,0.002466995258134,-3.2720590461e-05,0.01,0.029895664510382,0.025571424706575,0.004746796177716,0.003039859413055,"Atlantic Ocean","GID_6207","Bahamas (the)","TM","3","Bahamas"
"49",NA,NA,0.016516399602135,0.014127329136717,0.002232965243738,-7.885719029e-06,0.01,0.023505593545242,0.022735283620677,0.004755549699586,0.004396655302914,"Atlantic Ocean","GID_6208","Bahamas (the)","TM","3","Bahamas"
"50",NA,NA,0.003677744010568,0.005807807923264,0.003559844387653,0.000204521529605,0.01,0.007372852738732,0.009963895212268,0.005228239880569,0.002418359360281,"Pamlico Sound, NC","GID_6334","United States of America (the)","TM",NA,"US"
"51",NA,NA,0.009594616142053,0.022640163570208,0.014473620025069,0.000516475843173,0.01,0.018909994563464,0.022455170920836,0.015776233733984,0.015268529465521,"IJsselmeer","GID_6440","Netherlands (the)","TM","5","Netherlands"
"52",NA,NA,0.010120163419125,0.016740100302715,0.010715160372104,0.000603171270272,0.01,0.020275543975192,0.023829473854434,0.017964614201498,0.017850818417187,"IJsselmeer","GID_6441","Netherlands (the)","TM","2","Netherlands"
"53",NA,NA,0.014575974164154,0.031695428344904,0.023150651909222,0.001304896549063,0.01,0.014848360415758,0.019662797444288,0.01505844494064,0.01193343763303,"IJsselmeer","GID_6468","Netherlands (the)","TM","5","Netherlands"
"54",NA,NA,0.019817291948246,0.031677938447745,0.027036357741762,0.001034986792682,0.01,0.022288854005304,0.024879896478841,0.018542346644921,0.017982121245238,"IJsselmeer","GID_6484","Netherlands (the)","TM","4","Netherlands"
"55",NA,NA,0.023793368529424,0.037204848327477,0.03143004852919,0.001214765942968,0.01,0.020065459450311,0.020660698937474,0.016826656358391,0.014226860362985,"IJsselmeer","GID_6485","Netherlands (the)","TM","4","Netherlands"
"56",NA,NA,0.015780070238384,0.027227292415868,0.023195689403673,0.000844777716874,0.01,0.014515726584696,0.016310198568057,0.01181964184872,0.00858959227867,"IJsselmeer","GID_6486","Netherlands (the)","TM","4","Netherlands"
"57",NA,NA,0.010157519262722,0.018269101116599,0.017461626139397,0.000741506001253,0.01,0.016896684533351,0.021413501818299,0.015890029518295,0.011084346011635,"IJsselmeer","GID_6487","Netherlands (the)","TM","4","Netherlands"
"58",NA,NA,0.017013431663943,0.02621394053411,0.020589871499799,0.000805184321693,0.01,0.018087163507678,0.023549361154592,0.015977564736995,0.009316134593884,"IJsselmeer","GID_6488","Netherlands (the)","TM","4","Netherlands"
"59",NA,NA,0.013100357802282,0.024926884192675,0.021952775196398,0.001372880352648,0.01,0.013867965966312,0.019435205875667,0.011171881230336,0.007460387957433,"IJsselmeer","GID_6489","Netherlands (the)","TM","5","Netherlands"
"60",NA,NA,0.010735224881589,0.021546298002437,0.018690997624548,0.001174155590264,0.01,0.013141423651098,0.019654043922418,0.012948846169957,0.007617951351094,"IJsselmeer","GID_6490","Netherlands (the)","TM","5","Netherlands"
"61",NA,NA,0.010038704273419,0.019269333113184,0.016705741629071,0.001122845653542,0.01,0.012432388379623,0.017859571939057,0.010016416343488,0.005989796283263,"IJsselmeer","GID_6491","Netherlands (the)","TM","5","Netherlands"
"62",NA,NA,0.020259341600952,0.035486495432822,0.027706930269858,0.002487076742453,0.01,0.011679585498799,0.018052149420198,0.00865086693176,0.004344134171693,"IJsselmeer","GID_6492","Netherlands (the)","TM","5","Netherlands"
"63",NA,NA,0.024752360133478,0.045503348889604,0.035087992706854,0.003183710186259,0.01,0.019303903047616,0.025072473959982,0.017343114148724,0.010454092436991,"IJsselmeer","GID_6500","Netherlands (the)","TM","5","Netherlands"
"64",NA,NA,0.027972443295235,0.052727204647602,0.041790147531658,0.004025158507621,0.01,0.021395994774559,0.027103291033834,0.018971269216554,0.014069296969324,"IJsselmeer","GID_6501","Netherlands (the)","TM","5","Netherlands"
"65",NA,NA,0.004131667203083,0.007044039292541,0.004333534139486,0.000525958404315,0.01,0.008922226109732,0.011548282670748,0.006777613251568,0.001219126864084,"Nechad_Matchups_North_Sea","AGID_1068","Germany","ETM+","2","Germany"
"66",NA,NA,0.004332945941462,0.007649641656187,0.005184256194923,0.000728267320737,0.01,0.008326986622568,0.010051430430969,0.006304923070585,0.001831873394988,"Nechad_Matchups_North_Sea","AGID_1074","Germany","ETM+","4","Germany"
"67",NA,NA,0.003389652483691,0.005634435488067,0.002988496002441,0.000355356810514,0.01,0.006865148470269,0.007145261170111,0.003083627022405,0.001700570566937,"Nechad_Matchups_North_Sea","AGID_1076","Germany","ETM+","2","Germany"
"68",NA,NA,0.003378851909901,0.0052210866661,0.002488751338652,0.000287361013431,0.01,0.00701395834206,0.007267810476291,0.00379266229388,0.001770598741897,"Nechad_Matchups_North_Sea","AGID_1077","Germany","ETM+","3","Germany"
"69",NA,NA,0.002708177197146,0.004062620992555,0.001800856071626,0.000224630659533,0.01,0.005928521630173,0.005998549805134,0.003258697459807,0.00051009159261,"Nechad_Matchups_North_Sea","AGID_1078","Germany","ETM+","3","Germany"
"70",NA,NA,0.003087752444438,0.006739202210105,0.004943294558149,1.84799326e-07,0.01,0.007758007701014,0.00872089510672,0.00542957088358,0.002917310106874,"PACE_HICO","AGID_1170","US","ETM+",NA,"US"
"71",NA,NA,0.003023835792869,0.004901913451262,0.002531136384414,7.7889802e-08,0.01,0.007652965438574,0.006865148470269,0.003171162241106,0.002111986094829,"PACE_HICO","AGID_1174","US","ETM+",NA,"US"
"72",NA,NA,0.002676714530445,0.004572514394862,0.002249398115508,6.4202648e-08,0.01,0.007731747135404,0.006908916079619,0.003214929850456,0.00214700018231,"PACE_HICO","AGID_1175","US","ETM+",NA,"US"
"73",NA,NA,0.002833907495343,0.004908619783304,0.002567779375154,7.5682358e-08,0.01,0.007530416132393,0.007469141479303,0.003092380544276,0.002050711441739,"PACE_HICO","AGID_1176","US","ETM+",NA,"US"
"74",NA,NA,0.002729703376629,0.005000460715594,0.00278275320728,8.1403945e-08,0.01,0.007758007701014,0.007670472482314,0.00387144399071,0.00219076779166,"PACE_HICO","AGID_1178","US","ETM+",NA,"US"
"75",NA,NA,0.002918186941908,0.005599878334434,0.003413772740232,1.06972864e-07,0.01,0.008567708473994,0.008326986622568,0.0038451834251,0.002632820646098,"PACE_HICO","AGID_1179","US","ETM+",NA,"US"
