ID,region,lat,long,Date,dif_days,tss,chla,secchi,sensor,Class,CA_insitu,Blue_insitu,Green_insitu,Red_insitu,NIR_insitu,CA_satellite,Blue_satellite,Green_satellite,Red_satellite,NIR_satellite
AGID_1175,US,30.439,-86.474,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002676715,0.004572514,0.002249398,6.42E-08,0.01,0.007731747,0.006908916,0.00321493,0.002147
AGID_1176,US,30.431,-86.4292,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002833907,0.00490862,0.002567779,7.57E-08,0.01,0.007530416,0.007469141,0.003092381,0.002050711
AGID_1178,US,30.4413,-86.3596,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002729703,0.005000461,0.002782753,8.14E-08,0.01,0.007758008,0.007670472,0.003871444,0.002190768
AGID_1179,US,30.4495,-86.316,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002918187,0.005599878,0.003413773,1.07E-07,0.01,0.008567708,0.008326987,0.003845183,0.002632821
AGID_1180,US,30.4463,-86.3437,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.002883523,0.005493463,0.003220745,9.82E-08,0.01,0.007504156,0.007994353,0.00416031,0.002409606
AGID_1181,US,30.4511,-86.2977,8/24/2011,2,NA,6,NA,ETM+,NA,NA,0.003002968,0.005814854,0.003576244,1.14E-07,0.01,0.008029367,0.008414522,0.004536712,0.002689719
AGID_1182,US,30.4443,-86.2159,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003311256,0.007023192,0.004923625,1.85E-07,0.01,0.008453913,0.008760286,0.005464585,0.002952324
AGID_1183,US,30.4288,-86.2011,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003446139,0.006696085,0.005245381,1.83E-07,0.01,0.007766761,0.008729649,0.004808071,0.002926064
AGID_1184,US,30.452,-86.233,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003023947,0.006361102,0.004276413,1.45E-07,0.01,0.008362001,0.009377409,0.004773057,0.00289105
AGID_1244,US,29.748,-85.334,1/12/2010,-1,NA,NA,NA,ETM+,NA,NA,0.001831713,0.003439109,0.002571897,8.08E-08,0.01,0.0052545,0.005451455,0.00321493,0.000868986
AGID_1254,US,29.768,-85.376,1/12/2010,-1,NA,NA,NA,ETM+,NA,NA,0.00296156,0.005439528,0.00448774,1.48E-07,0.01,0.00629617,0.005543367,0.003302465,0.000921507
AGID_126,Italy,45.6711,10.0142,7/8/2016,1,3,2.56,NA,ETM+,1,NA,0.014071956,0.016594803,0.007522441,0.004719449,0.01,0.014331903,0.015557396,0.006523761,0.006269909
AGID_127,Italy,45.6711,10.0142,7/8/2016,1,3,2.56,NA,ETM+,3,NA,0.006795994,0.00913838,0.002510538,-1.44E-05,0.01,0.014331903,0.015557396,0.006523761,0.006269909
AGID_128,Italy,45.6711,10.0142,7/8/2016,1,3,2.56,NA,ETM+,3,NA,0.007894898,0.010524522,0.003411532,0.000873562,0.01,0.014331903,0.015557396,0.006523761,0.006269909
AGID_129,Italy,45.6711,10.0142,7/8/2016,1,3,2.56,NA,ETM+,3,NA,0.007601202,0.009647425,0.003145488,0.00079805,0.01,0.014331903,0.015557396,0.006523761,0.006269909
AGID_134,Italy,45.6789,10.0667,7/8/2016,1,3.54,2.89,NA,ETM+,3,NA,0.008555936,0.011720773,0.003465995,0.000606013,0.01,0.014988417,0.017299347,0.00801186,0.007294071
AGID_135,Italy,45.6789,10.0667,7/8/2016,1,3.54,2.89,NA,ETM+,3,NA,0.008934447,0.012149803,0.003649483,0.000677356,0.01,0.014988417,0.017299347,0.00801186,0.007294071
AGID_136,Italy,45.6789,10.0667,7/8/2016,1,3.54,2.89,NA,ETM+,3,NA,0.008761023,0.01198767,0.003559482,0.000638771,0.01,0.014988417,0.017299347,0.00801186,0.007294071
AGID_137,Italy,45.6789,10.0667,7/8/2016,1,3.54,2.89,NA,ETM+,3,NA,0.009595133,0.012735653,0.004144545,0.0010747,0.01,0.014988417,0.017299347,0.00801186,0.007294071
AGID_138,Italy,45.7061,10.0647,7/8/2016,1,3.5,2.36,NA,ETM+,3,NA,0.00921659,0.012288163,0.004722576,0.00231885,0.01,0.017439403,0.018769938,0.009368656,0.008913473
AGID_139,Italy,45.7061,10.0647,7/8/2016,1,3.5,2.36,NA,ETM+,3,NA,0.008383878,0.011553569,0.003970781,0.001332013,0.01,0.017439403,0.018769938,0.009368656,0.008913473
